"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"SXT","5394","1998-01-02","2019-06-11","40","2009-07-20","2019-05-01"
"SXTC","107","2019-01-04","2019-06-07","0","NULL","NULL"
"SYBT","5397","1998-01-02","2019-06-14","40","2009-07-22","2019-04-24"
"SYBX","932","2015-10-01","2019-06-14","14","2015-11-13","2019-05-09"
"SYF","1224","2014-07-31","2019-06-11","19","2014-10-17","2019-04-18"
"SYK","5394","1998-01-02","2019-06-11","40","2009-07-21","2019-04-23"
"SYKE","5397","1998-01-02","2019-06-14","40","2009-05-04","2019-05-06"
"SYMC","5397","1998-01-02","2019-06-14","41","2009-05-06","2019-05-09"
"SYN","3136","2006-12-18","2019-06-05","28","2012-05-15","2019-05-08"
"SYNA","4375","2002-01-29","2019-06-14","40","2009-07-30","2019-05-09"
"SYNC","1846","2012-02-13","2019-06-14","30","2012-03-12","2019-05-08"
"SYNH","1157","2014-11-07","2019-06-14","7","2018-02-28","2019-05-09"
"SYNL","5397","1998-01-02","2019-06-14","38","2009-07-23","2018-11-06"
"SYNT","5231","1998-01-02","2019-05-06","0","NULL","NULL"
"SYPR","5397","1998-01-02","2019-06-14","41","2009-05-14","2019-05-15"
"SYRS","744","2016-06-30","2019-06-14","12","2016-08-15","2019-05-01"
"SYX","5394","1998-01-02","2019-06-11","41","2009-05-12","2019-04-30"
"SYY","5394","1998-01-02","2019-06-11","41","2009-05-04","2019-05-06"
"SZC","1686","2012-09-26","2019-06-11","0","NULL","NULL"
"T","5394","1998-01-02","2019-06-11","40","2009-07-23","2019-04-24"
"TA","3114","2007-02-01","2019-06-14","41","2009-05-11","2019-05-07"
"TAC","4493","2001-07-31","2019-06-11","40","2009-07-30","2019-05-14"
"TACO","1368","2014-01-08","2019-06-14","15","2015-07-27","2019-05-06"
"TACOW","1075","2014-10-22","2019-06-14","0","NULL","NULL"
"TACT","5397","1998-01-02","2019-06-14","41","2009-05-07","2019-05-07"
